source	transformation	target
Bob near Peter sings	sem	 sing ( bob ) & near ( bob , peter ) 
Zack near Leo runs	sem	 run ( zack ) & near ( zack , leo ) 
John meets himself	sem	meet ( john , john )
Xavier behind Sarah believes himself	sem	 believe ( xavier , xavier ) & behind ( xavier , sarah ) 
Mary beside Leo sleeps	sem	 sleep ( mary ) & beside ( mary , leo ) 
Daniel near Henry meets himself	sem	 meet ( daniel , daniel ) & near ( daniel , henry ) 
Kate by Henry runs	sem	 run ( kate ) & by ( kate , henry ) 
Isla meets herself	sem	meet ( isla , isla )
Willow runs	sem	run ( willow )
Olivia knows Victor	sem	know ( olivia , victor )
Daniel knows himself	sem	know ( daniel , daniel )
Claire sees herself	sem	see ( claire , claire )
Frank by Victor sees Mary	sem	 see ( frank , mary ) & by ( frank , victor ) 
Ynez meets Victor	sem	meet ( ynez , victor )
Sarah beside Willow hears Daniel	sem	 hear ( sarah , daniel ) & beside ( sarah , willow ) 
Victor believes himself	sem	believe ( victor , victor )
Xavier near Thomas believes himself	sem	 believe ( xavier , xavier ) & near ( xavier , thomas ) 
Quinn by Kate sees herself	sem	 see ( quinn , quinn ) & by ( quinn , kate ) 
Ynez sings	sem	sing ( ynez )
Leo sings	sem	sing ( leo )
Kate believes herself	sem	believe ( kate , kate )
Quinn by Mary knows Peter	sem	 know ( quinn , peter ) & by ( quinn , mary ) 
Mary by Victor meets herself	sem	 meet ( mary , mary ) & by ( mary , victor ) 
Willow runs	sem	run ( willow )
Ynez sees Bob	sem	see ( ynez , bob )
Henry behind Willow runs	sem	 run ( henry ) & behind ( henry , willow ) 
Kate hears Olivia	sem	hear ( kate , olivia )
Olivia knows Olivia	sem	know ( olivia , olivia )
Daniel sees Kate	sem	see ( daniel , kate )
Grace by Ron sees Ynez	sem	 see ( grace , ynez ) & by ( grace , ron ) 
Daniel sees Kate	sem	see ( daniel , kate )
John hears Zack	sem	hear ( john , zack )
Ron believes himself	sem	believe ( ron , ron )
Frank behind Mary sees Grace	sem	 see ( frank , grace ) & behind ( frank , mary ) 
Victor sings	sem	sing ( victor )
Claire knows herself	sem	know ( claire , claire )
Grace near Daniel sees Willow	sem	 see ( grace , willow ) & near ( grace , daniel ) 
Claire sees Peter	sem	see ( claire , peter )
Frank behind Ron sees Ynez	sem	 see ( frank , ynez ) & behind ( frank , ron ) 
Thomas sees Xavier	sem	see ( thomas , xavier )
Frank beside Ynez sees Daniel	sem	 see ( frank , daniel ) & beside ( frank , ynez ) 
Willow runs	sem	run ( willow )
Claire dreams	sem	dream ( claire )
Leo near Thomas hears Olivia	sem	 hear ( leo , olivia ) & near ( leo , thomas ) 
Ron dreams	sem	dream ( ron )
Quinn behind Ned knows herself	sem	 know ( quinn , quinn ) & behind ( quinn , ned ) 
Victor sees Ned	sem	see ( victor , ned )
Ned behind Thomas hears himself	sem	 hear ( ned , ned ) & behind ( ned , thomas ) 
Claire beside Daniel hears Frank	sem	 hear ( claire , frank ) & beside ( claire , daniel ) 
Ursa beside Leo dances	sem	 dance ( ursa ) & beside ( ursa , leo ) 
Leo by Ursa runs	sem	 run ( leo ) & by ( leo , ursa ) 
Grace by Sarah sleeps	sem	 sleep ( grace ) & by ( grace , sarah ) 
Henry knows Xavier	sem	know ( henry , xavier )
Victor beside Ursa hears Peter	sem	 hear ( victor , peter ) & beside ( victor , ursa ) 
Mary near Frank meets Xavier	sem	 meet ( mary , xavier ) & near ( mary , frank ) 
Sarah behind Quinn believes Olivia	sem	 believe ( sarah , olivia ) & behind ( sarah , quinn ) 
Leo dances	sem	dance ( leo )
Ron sleeps	sem	sleep ( ron )
Victor beside Olivia hears Alice	sem	 hear ( victor , alice ) & beside ( victor , olivia ) 
Bob runs	sem	run ( bob )
Ned near Grace meets himself	sem	 meet ( ned , ned ) & near ( ned , grace ) 
Isla by Thomas runs	sem	 run ( isla ) & by ( isla , thomas ) 
Leo near Kate hears himself	sem	 hear ( leo , leo ) & near ( leo , kate ) 
Bob beside Thomas knows Quinn	sem	 know ( bob , quinn ) & beside ( bob , thomas ) 
Kate runs	sem	run ( kate )
Xavier by Daniel meets Peter	sem	 meet ( xavier , peter ) & by ( xavier , daniel ) 
Sarah dances	sem	dance ( sarah )
Ron hears himself	sem	hear ( ron , ron )
Isla beside Frank sees herself	sem	 see ( isla , isla ) & beside ( isla , frank ) 
Grace near Mary dreams	sem	 dream ( grace ) & near ( grace , mary ) 
Henry meets himself	sem	meet ( henry , henry )
Frank dances	sem	dance ( frank )
Alice by Xavier runs	sem	 run ( alice ) & by ( alice , xavier ) 
Peter by Daniel believes Bob	sem	 believe ( peter , bob ) & by ( peter , daniel ) 
Olivia believes herself	sem	believe ( olivia , olivia )
Henry sleeps	sem	sleep ( henry )
Bob by Xavier knows himself	sem	 know ( bob , bob ) & by ( bob , xavier ) 
Xavier dances	sem	dance ( xavier )
Peter meets Isla	sem	meet ( peter , isla )
Mary behind Ellie sees Quinn	sem	 see ( mary , quinn ) & behind ( mary , ellie ) 
Zack beside Peter hears Xavier	sem	 hear ( zack , xavier ) & beside ( zack , peter ) 
Thomas beside Sarah runs	sem	 run ( thomas ) & beside ( thomas , sarah ) 
Kate dances	sem	dance ( kate )
Sarah beside John hears herself	sem	 hear ( sarah , sarah ) & beside ( sarah , john ) 
John behind Thomas believes Kate	sem	 believe ( john , kate ) & behind ( john , thomas ) 
Alice dances	sem	dance ( alice )
Alice dreams	sem	dream ( alice )
Xavier by Peter sees Ron	sem	 see ( xavier , ron ) & by ( xavier , peter ) 
Olivia behind Mary runs	sem	 run ( olivia ) & behind ( olivia , mary ) 
Olivia near Bob sees Thomas	sem	 see ( olivia , thomas ) & near ( olivia , bob ) 
Isla knows herself	sem	know ( isla , isla )
Xavier dances	sem	dance ( xavier )
Ellie behind Sarah sleeps	sem	 sleep ( ellie ) & behind ( ellie , sarah ) 
John by Zack knows Zack	sem	 know ( john , zack ) & by ( john , zack ) 
Alice sleeps	sem	sleep ( alice )
Leo by Xavier believes Mary	sem	 believe ( leo , mary ) & by ( leo , xavier ) 
Frank hears himself	sem	hear ( frank , frank )
Quinn hears Thomas	sem	hear ( quinn , thomas )
Bob knows John	sem	know ( bob , john )
Mary behind Mary sees Ursa	sem	 see ( mary , ursa ) & behind ( mary , mary ) 
Olivia meets Quinn	sem	meet ( olivia , quinn )
Leo behind Olivia hears himself	sem	 hear ( leo , leo ) & behind ( leo , olivia ) 
Ned knows himself	sem	know ( ned , ned )
Ron meets Sarah	sem	meet ( ron , sarah )
Peter knows Ellie	sem	know ( peter , ellie )
Ellie behind Daniel sees John	sem	 see ( ellie , john ) & behind ( ellie , daniel ) 
Kate dances	sem	dance ( kate )
Ned behind Kate believes Kate	sem	 believe ( ned , kate ) & behind ( ned , kate ) 
Ned behind Ynez sees Ursa	sem	 see ( ned , ursa ) & behind ( ned , ynez ) 
Victor near Ned sees himself	sem	 see ( victor , victor ) & near ( victor , ned ) 
Ynez beside Olivia sees Alice	sem	 see ( ynez , alice ) & beside ( ynez , olivia ) 
Mary by Kate sings	sem	 sing ( mary ) & by ( mary , kate ) 
Bob sees himself	sem	see ( bob , bob )
Quinn dreams	sem	dream ( quinn )
Ynez near Claire meets herself	sem	 meet ( ynez , ynez ) & near ( ynez , claire ) 
John hears himself	sem	hear ( john , john )
Victor hears Henry	sem	hear ( victor , henry )
Peter near Leo sings	sem	 sing ( peter ) & near ( peter , leo ) 
Bob meets Quinn	sem	meet ( bob , quinn )
Henry hears John	sem	hear ( henry , john )
Grace behind Mary sings	sem	 sing ( grace ) & behind ( grace , mary ) 
Ron near Grace sleeps	sem	 sleep ( ron ) & near ( ron , grace ) 
Xavier by Ursa meets Thomas	sem	 meet ( xavier , thomas ) & by ( xavier , ursa ) 
Quinn behind Ynez runs	sem	 run ( quinn ) & behind ( quinn , ynez ) 
Frank hears himself	sem	hear ( frank , frank )
Ellie runs	sem	run ( ellie )
Frank meets Zack	sem	meet ( frank , zack )
Ned believes himself	sem	believe ( ned , ned )
Leo beside Ellie meets Frank	sem	 meet ( leo , frank ) & beside ( leo , ellie ) 
Ned dreams	sem	dream ( ned )
Quinn beside Olivia runs	sem	 run ( quinn ) & beside ( quinn , olivia ) 
Xavier beside Olivia hears Quinn	sem	 hear ( xavier , quinn ) & beside ( xavier , olivia ) 
John behind Ron dreams	sem	 dream ( john ) & behind ( john , ron ) 
Leo believes Alice	sem	believe ( leo , alice )
Daniel hears Ron	sem	hear ( daniel , ron )
John near Alice meets Peter	sem	 meet ( john , peter ) & near ( john , alice ) 
Olivia meets Ned	sem	meet ( olivia , ned )
Ynez behind Ellie believes Quinn	sem	 believe ( ynez , quinn ) & behind ( ynez , ellie ) 
Henry by Quinn meets Claire	sem	 meet ( henry , claire ) & by ( henry , quinn ) 
Ned near Quinn dreams	sem	 dream ( ned ) & near ( ned , quinn ) 
Olivia knows Ned	sem	know ( olivia , ned )
Ellie knows Ynez	sem	know ( ellie , ynez )
Ron meets Alice	sem	meet ( ron , alice )
Victor sees himself	sem	see ( victor , victor )
Mary beside Thomas believes Alice	sem	 believe ( mary , alice ) & beside ( mary , thomas ) 
Ron near Grace sees Ron	sem	 see ( ron , ron ) & near ( ron , grace ) 
Daniel hears Henry	sem	hear ( daniel , henry )
Ron meets Grace	sem	meet ( ron , grace )
Ursa sleeps	sem	sleep ( ursa )
Henry by Ned hears Thomas	sem	 hear ( henry , thomas ) & by ( henry , ned ) 
Daniel near Henry dances	sem	 dance ( daniel ) & near ( daniel , henry ) 
Claire knows Olivia	sem	know ( claire , olivia )
Xavier behind Frank sees Daniel	sem	 see ( xavier , daniel ) & behind ( xavier , frank ) 
Xavier sings	sem	sing ( xavier )
Daniel runs	sem	run ( daniel )
Kate hears Bob	sem	hear ( kate , bob )
Victor dances	sem	dance ( victor )
Leo behind Olivia sees Ursa	sem	 see ( leo , ursa ) & behind ( leo , olivia ) 
Victor near Ynez meets himself	sem	 meet ( victor , victor ) & near ( victor , ynez ) 
Alice by Thomas sleeps	sem	 sleep ( alice ) & by ( alice , thomas ) 
Henry hears himself	sem	hear ( henry , henry )
Kate beside John hears Grace	sem	 hear ( kate , grace ) & beside ( kate , john ) 
Daniel beside Ynez sees Claire	sem	 see ( daniel , claire ) & beside ( daniel , ynez ) 
Frank by Willow meets himself	sem	 meet ( frank , frank ) & by ( frank , willow ) 
Leo sleeps	sem	sleep ( leo )
Frank behind Thomas believes Alice	sem	 believe ( frank , alice ) & behind ( frank , thomas ) 
Ellie dances	sem	dance ( ellie )
Bob sings	sem	sing ( bob )
Sarah hears Grace	sem	hear ( sarah , grace )
Victor believes Sarah	sem	believe ( victor , sarah )
Daniel near John hears himself	sem	 hear ( daniel , daniel ) & near ( daniel , john ) 
Mary runs	sem	run ( mary )
Peter believes Ron	sem	believe ( peter , ron )
Thomas near Olivia dreams	sem	 dream ( thomas ) & near ( thomas , olivia ) 
Zack meets himself	sem	meet ( zack , zack )
Leo near Zack sees himself	sem	 see ( leo , leo ) & near ( leo , zack ) 
Ron behind Victor knows Xavier	sem	 know ( ron , xavier ) & behind ( ron , victor ) 
Xavier sings	sem	sing ( xavier )
Alice dreams	sem	dream ( alice )
Mary beside Ellie knows herself	sem	 know ( mary , mary ) & beside ( mary , ellie ) 
Bob meets himself	sem	meet ( bob , bob )
Frank by Thomas runs	sem	 run ( frank ) & by ( frank , thomas ) 
Peter meets himself	sem	meet ( peter , peter )
Mary hears Xavier	sem	hear ( mary , xavier )
Quinn sleeps	sem	sleep ( quinn )
Peter hears Alice	sem	hear ( peter , alice )
Mary believes Ned	sem	believe ( mary , ned )
Bob beside Frank dances	sem	 dance ( bob ) & beside ( bob , frank ) 
Claire by Mary meets Grace	sem	 meet ( claire , grace ) & by ( claire , mary ) 
Olivia behind Willow sees herself	sem	 see ( olivia , olivia ) & behind ( olivia , willow ) 
Xavier sees Ron	sem	see ( xavier , ron )
Claire near Victor believes herself	sem	 believe ( claire , claire ) & near ( claire , victor ) 
Ynez knows Kate	sem	know ( ynez , kate )
John beside Ron believes himself	sem	 believe ( john , john ) & beside ( john , ron ) 
Alice sings	sem	sing ( alice )
Daniel near Kate sings	sem	 sing ( daniel ) & near ( daniel , kate ) 
Sarah near Ron sleeps	sem	 sleep ( sarah ) & near ( sarah , ron ) 
Ursa knows Ned	sem	know ( ursa , ned )
Victor beside Daniel hears himself	sem	 hear ( victor , victor ) & beside ( victor , daniel ) 
Willow by Zack knows Sarah	sem	 know ( willow , sarah ) & by ( willow , zack ) 
Frank behind Sarah runs	sem	 run ( frank ) & behind ( frank , sarah ) 
Bob sees Thomas	sem	see ( bob , thomas )
Grace knows John	sem	know ( grace , john )
Peter behind Ynez dreams	sem	 dream ( peter ) & behind ( peter , ynez ) 
Ned sees Mary	sem	see ( ned , mary )
Isla beside Ellie meets Ynez	sem	 meet ( isla , ynez ) & beside ( isla , ellie ) 
Ynez beside Daniel sleeps	sem	 sleep ( ynez ) & beside ( ynez , daniel ) 
Sarah runs	sem	run ( sarah )
John dances	sem	dance ( john )
Willow meets Grace	sem	meet ( willow , grace )
Leo by Frank believes Alice	sem	 believe ( leo , alice ) & by ( leo , frank ) 
Ynez near Willow sings	sem	 sing ( ynez ) & near ( ynez , willow ) 
Victor meets Zack	sem	meet ( victor , zack )
Ursa by Kate sleeps	sem	 sleep ( ursa ) & by ( ursa , kate ) 
Ned near Ellie knows Olivia	sem	 know ( ned , olivia ) & near ( ned , ellie ) 
Quinn by Claire meets Peter	sem	 meet ( quinn , peter ) & by ( quinn , claire ) 
Ynez meets Ursa	sem	meet ( ynez , ursa )
Xavier sleeps	sem	sleep ( xavier )
Alice meets herself	sem	meet ( alice , alice )
Quinn hears Frank	sem	hear ( quinn , frank )
Olivia dances	sem	dance ( olivia )
Claire knows Sarah	sem	know ( claire , sarah )
Bob beside Thomas sees himself	sem	 see ( bob , bob ) & beside ( bob , thomas ) 
Xavier hears Frank	sem	hear ( xavier , frank )
Sarah behind Peter hears herself	sem	 hear ( sarah , sarah ) & behind ( sarah , peter ) 
Xavier near Bob meets Daniel	sem	 meet ( xavier , daniel ) & near ( xavier , bob ) 
Ursa sings	sem	sing ( ursa )
Ned dances	sem	dance ( ned )
Quinn sleeps	sem	sleep ( quinn )
Sarah by Quinn dances	sem	 dance ( sarah ) & by ( sarah , quinn ) 
Kate beside Frank sings	sem	 sing ( kate ) & beside ( kate , frank ) 
Quinn by Ellie sings	sem	 sing ( quinn ) & by ( quinn , ellie ) 
Sarah sings	sem	sing ( sarah )
Ron meets Sarah	sem	meet ( ron , sarah )
Ellie meets herself	sem	meet ( ellie , ellie )
Alice behind Peter sees Victor	sem	 see ( alice , victor ) & behind ( alice , peter ) 
Zack sees himself	sem	see ( zack , zack )
Thomas believes himself	sem	believe ( thomas , thomas )
Isla near Ursa sees herself	sem	 see ( isla , isla ) & near ( isla , ursa ) 
Ned sees Mary	sem	see ( ned , mary )
Mary dreams	sem	dream ( mary )
John beside Willow dances	sem	 dance ( john ) & beside ( john , willow ) 
Ursa behind Grace dances	sem	 dance ( ursa ) & behind ( ursa , grace ) 
Ron behind Quinn meets Frank	sem	 meet ( ron , frank ) & behind ( ron , quinn ) 
Victor hears Ursa	sem	hear ( victor , ursa )
John by Ned meets himself	sem	 meet ( john , john ) & by ( john , ned ) 
Willow by Isla sleeps	sem	 sleep ( willow ) & by ( willow , isla ) 
Thomas beside Willow sees Quinn	sem	 see ( thomas , quinn ) & beside ( thomas , willow ) 
Ellie believes Ellie	sem	believe ( ellie , ellie )
Alice near Thomas believes Xavier	sem	 believe ( alice , xavier ) & near ( alice , thomas ) 
Willow near Daniel sings	sem	 sing ( willow ) & near ( willow , daniel ) 
Sarah behind Ursa believes Xavier	sem	 believe ( sarah , xavier ) & behind ( sarah , ursa ) 
Quinn dreams	sem	dream ( quinn )
Kate runs	sem	run ( kate )
Alice near Daniel believes Daniel	sem	 believe ( alice , daniel ) & near ( alice , daniel ) 
Leo behind Quinn knows Henry	sem	 know ( leo , henry ) & behind ( leo , quinn ) 
Alice sings	sem	sing ( alice )
Henry beside Daniel hears himself	sem	 hear ( henry , henry ) & beside ( henry , daniel ) 
Henry beside Grace dances	sem	 dance ( henry ) & beside ( henry , grace ) 
Thomas dreams	sem	dream ( thomas )
Thomas meets Daniel	sem	meet ( thomas , daniel )
Ellie behind Sarah dances	sem	 dance ( ellie ) & behind ( ellie , sarah ) 
Ellie hears Ellie	sem	hear ( ellie , ellie )
Peter near Mary believes Alice	sem	 believe ( peter , alice ) & near ( peter , mary ) 
Ursa behind Alice sees Olivia	sem	 see ( ursa , olivia ) & behind ( ursa , alice ) 
Ned knows Frank	sem	know ( ned , frank )
Sarah sees Ynez	sem	see ( sarah , ynez )
Ellie runs	sem	run ( ellie )
Ellie near John sees Bob	sem	 see ( ellie , bob ) & near ( ellie , john ) 
Bob believes Ellie	sem	believe ( bob , ellie )
Alice hears Alice	sem	hear ( alice , alice )
Isla hears Zack	sem	hear ( isla , zack )
Peter hears Ursa	sem	hear ( peter , ursa )
Isla beside Bob hears Ursa	sem	 hear ( isla , ursa ) & beside ( isla , bob ) 
Kate meets Olivia	sem	meet ( kate , olivia )
Alice near Willow sings	sem	 sing ( alice ) & near ( alice , willow ) 
Sarah behind Thomas meets herself	sem	 meet ( sarah , sarah ) & behind ( sarah , thomas ) 
Alice meets herself	sem	meet ( alice , alice )
Claire runs	sem	run ( claire )
Mary near Quinn hears herself	sem	 hear ( mary , mary ) & near ( mary , quinn ) 
Leo believes Daniel	sem	believe ( leo , daniel )
Grace by John dreams	sem	 dream ( grace ) & by ( grace , john ) 
Claire sleeps	sem	sleep ( claire )
Ursa beside Zack sees Ron	sem	 see ( ursa , ron ) & beside ( ursa , zack ) 
Ned near Frank runs	sem	 run ( ned ) & near ( ned , frank ) 
Claire knows herself	sem	know ( claire , claire )
Olivia near Peter sleeps	sem	 sleep ( olivia ) & near ( olivia , peter ) 
Frank runs	sem	run ( frank )
Grace meets Thomas	sem	meet ( grace , thomas )
Peter dreams	sem	dream ( peter )
Grace near Zack believes herself	sem	 believe ( grace , grace ) & near ( grace , zack ) 
Bob sings	sem	sing ( bob )
Mary sees herself	sem	see ( mary , mary )
Grace beside John runs	sem	 run ( grace ) & beside ( grace , john ) 
Ynez beside Mary dreams	sem	 dream ( ynez ) & beside ( ynez , mary ) 
Isla by Isla sleeps	sem	 sleep ( isla ) & by ( isla , isla ) 
Victor sees Mary	sem	see ( victor , mary )
Frank runs	sem	run ( frank )
Alice meets herself	sem	meet ( alice , alice )
Zack behind Frank sees himself	sem	 see ( zack , zack ) & behind ( zack , frank ) 
Mary sings	sem	sing ( mary )
Mary near Quinn runs	sem	 run ( mary ) & near ( mary , quinn ) 
Thomas dreams	sem	dream ( thomas )
Kate near Quinn sings	sem	 sing ( kate ) & near ( kate , quinn ) 
Claire meets herself	sem	meet ( claire , claire )
Mary meets herself	sem	meet ( mary , mary )
Isla behind Mary knows Ned	sem	 know ( isla , ned ) & behind ( isla , mary ) 
Grace beside Isla sees Zack	sem	 see ( grace , zack ) & beside ( grace , isla ) 
Sarah by Thomas meets Claire	sem	 meet ( sarah , claire ) & by ( sarah , thomas ) 
Zack runs	sem	run ( zack )
Alice hears herself	sem	hear ( alice , alice )
Xavier by Ned believes Grace	sem	 believe ( xavier , grace ) & by ( xavier , ned ) 
Henry by Quinn sings	sem	 sing ( henry ) & by ( henry , quinn ) 
Ron hears himself	sem	hear ( ron , ron )
Victor believes Frank	sem	believe ( victor , frank )
Ynez believes Xavier	sem	believe ( ynez , xavier )
John near Xavier sees Ron	sem	 see ( john , ron ) & near ( john , xavier ) 
Claire beside Isla dreams	sem	 dream ( claire ) & beside ( claire , isla ) 
Olivia meets herself	sem	meet ( olivia , olivia )
Victor hears Mary	sem	hear ( victor , mary )
Victor by Willow runs	sem	 run ( victor ) & by ( victor , willow ) 
Bob by Henry sees himself	sem	 see ( bob , bob ) & by ( bob , henry ) 
Olivia sleeps	sem	sleep ( olivia )
Thomas near Willow meets Kate	sem	 meet ( thomas , kate ) & near ( thomas , willow ) 
Isla sleeps	sem	sleep ( isla )
Bob by Ursa believes Willow	sem	 believe ( bob , willow ) & by ( bob , ursa ) 
Ursa behind Willow believes Bob	sem	 believe ( ursa , bob ) & behind ( ursa , willow ) 
Thomas near Ned believes Leo	sem	 believe ( thomas , leo ) & near ( thomas , ned ) 
Alice believes herself	sem	believe ( alice , alice )
Daniel meets Daniel	sem	meet ( daniel , daniel )
Peter near John hears Kate	sem	 hear ( peter , kate ) & near ( peter , john ) 
Frank runs	sem	run ( frank )
Thomas believes himself	sem	believe ( thomas , thomas )
Isla hears Grace	sem	hear ( isla , grace )
Isla knows herself	sem	know ( isla , isla )
Quinn by Peter meets herself	sem	 meet ( quinn , quinn ) & by ( quinn , peter ) 
Thomas knows himself	sem	know ( thomas , thomas )
Xavier by Sarah hears himself	sem	 hear ( xavier , xavier ) & by ( xavier , sarah ) 
Ynez meets Sarah	sem	meet ( ynez , sarah )
Ursa by Ned meets Xavier	sem	 meet ( ursa , xavier ) & by ( ursa , ned ) 
Bob hears Sarah	sem	hear ( bob , sarah )
Mary by Claire meets herself	sem	 meet ( mary , mary ) & by ( mary , claire ) 
Claire near Mary meets herself	sem	 meet ( claire , claire ) & near ( claire , mary ) 
Zack by Ron knows Bob	sem	 know ( zack , bob ) & by ( zack , ron ) 
Ellie near Isla knows Olivia	sem	 know ( ellie , olivia ) & near ( ellie , isla ) 
Peter beside Claire dreams	sem	 dream ( peter ) & beside ( peter , claire ) 
Ned by Olivia hears himself	sem	 hear ( ned , ned ) & by ( ned , olivia ) 
Ellie behind Henry sings	sem	 sing ( ellie ) & behind ( ellie , henry ) 
Mary beside Olivia sings	sem	 sing ( mary ) & beside ( mary , olivia ) 
Ned beside Sarah sings	sem	 sing ( ned ) & beside ( ned , sarah ) 
Quinn by Alice dances	sem	 dance ( quinn ) & by ( quinn , alice ) 
Frank knows himself	sem	know ( frank , frank )
Frank beside Claire believes Ursa	sem	 believe ( frank , ursa ) & beside ( frank , claire ) 
Leo dreams	sem	dream ( leo )
Ursa behind Ron runs	sem	 run ( ursa ) & behind ( ursa , ron ) 
Daniel dances	sem	dance ( daniel )
Bob near Ellie hears himself	sem	 hear ( bob , bob ) & near ( bob , ellie ) 
Ursa near Claire believes Sarah	sem	 believe ( ursa , sarah ) & near ( ursa , claire ) 
Quinn near Willow hears herself	sem	 hear ( quinn , quinn ) & near ( quinn , willow ) 
Grace behind Henry knows Sarah	sem	 know ( grace , sarah ) & behind ( grace , henry ) 
Xavier sees himself	sem	see ( xavier , xavier )
Daniel behind Ellie hears Quinn	sem	 hear ( daniel , quinn ) & behind ( daniel , ellie ) 
Leo hears Willow	sem	hear ( leo , willow )
John dreams	sem	dream ( john )
John behind Sarah knows Henry	sem	 know ( john , henry ) & behind ( john , sarah ) 
Victor beside Willow meets Victor	sem	 meet ( victor , victor ) & beside ( victor , willow ) 
John near Xavier hears Zack	sem	 hear ( john , zack ) & near ( john , xavier ) 
Olivia dreams	sem	dream ( olivia )
Isla near Kate dreams	sem	 dream ( isla ) & near ( isla , kate ) 
Ron hears Bob	sem	hear ( ron , bob )
Isla behind Ron believes Xavier	sem	 believe ( isla , xavier ) & behind ( isla , ron ) 
Claire knows Bob	sem	know ( claire , bob )
Olivia near Alice sings	sem	 sing ( olivia ) & near ( olivia , alice ) 
Sarah dreams	sem	dream ( sarah )
Kate near Peter meets herself	sem	 meet ( kate , kate ) & near ( kate , peter ) 
Alice behind Victor meets Grace	sem	 meet ( alice , grace ) & behind ( alice , victor ) 
Mary by Grace meets Kate	sem	 meet ( mary , kate ) & by ( mary , grace ) 
Isla by Ellie sings	sem	 sing ( isla ) & by ( isla , ellie ) 
Xavier hears himself	sem	hear ( xavier , xavier )
Quinn near Henry believes Daniel	sem	 believe ( quinn , daniel ) & near ( quinn , henry ) 
Claire behind Frank hears Claire	sem	 hear ( claire , claire ) & behind ( claire , frank ) 
Henry behind Willow hears himself	sem	 hear ( henry , henry ) & behind ( henry , willow ) 
Ellie beside John meets Ynez	sem	 meet ( ellie , ynez ) & beside ( ellie , john ) 
Frank near Ned runs	sem	 run ( frank ) & near ( frank , ned ) 
Sarah near Kate knows Leo	sem	 know ( sarah , leo ) & near ( sarah , kate ) 
Ned by Isla dreams	sem	 dream ( ned ) & by ( ned , isla ) 
Victor by Grace meets Isla	sem	 meet ( victor , isla ) & by ( victor , grace ) 
Claire near Willow hears Daniel	sem	 hear ( claire , daniel ) & near ( claire , willow ) 
Xavier by Bob dreams	sem	 dream ( xavier ) & by ( xavier , bob ) 
Grace dreams	sem	dream ( grace )
Grace near Quinn sees Bob	sem	 see ( grace , bob ) & near ( grace , quinn ) 
Sarah sees Willow	sem	see ( sarah , willow )
Willow beside Zack knows Bob	sem	 know ( willow , bob ) & beside ( willow , zack ) 
Ned sees Henry	sem	see ( ned , henry )
Ursa beside Bob meets Claire	sem	 meet ( ursa , claire ) & beside ( ursa , bob ) 
Peter behind Alice sees himself	sem	 see ( peter , peter ) & behind ( peter , alice ) 
Bob by Henry dreams	sem	 dream ( bob ) & by ( bob , henry ) 
Daniel sings	sem	sing ( daniel )
Frank believes Ynez	sem	believe ( frank , ynez )
Victor near Ron meets Sarah	sem	 meet ( victor , sarah ) & near ( victor , ron ) 
Zack by Claire meets Leo	sem	 meet ( zack , leo ) & by ( zack , claire ) 
Mary by Claire runs	sem	 run ( mary ) & by ( mary , claire ) 
Ned near Ned dances	sem	 dance ( ned ) & near ( ned , ned ) 
Quinn near Victor dances	sem	 dance ( quinn ) & near ( quinn , victor ) 
Ned sees Zack	sem	see ( ned , zack )
Quinn behind Ellie hears herself	sem	 hear ( quinn , quinn ) & behind ( quinn , ellie ) 
Thomas meets Isla	sem	meet ( thomas , isla )
Claire sings	sem	sing ( claire )
Bob behind Grace dreams	sem	 dream ( bob ) & behind ( bob , grace ) 
Bob believes Frank	sem	believe ( bob , frank )
Claire sees Frank	sem	see ( claire , frank )
Olivia beside Daniel runs	sem	 run ( olivia ) & beside ( olivia , daniel ) 
Bob by Kate believes Sarah	sem	 believe ( bob , sarah ) & by ( bob , kate ) 
John near Olivia sees Henry	sem	 see ( john , henry ) & near ( john , olivia ) 
Peter sings	sem	sing ( peter )
Peter runs	sem	run ( peter )
Henry by Isla knows Henry	sem	 know ( henry , henry ) & by ( henry , isla ) 
Daniel by Claire meets Mary	sem	 meet ( daniel , mary ) & by ( daniel , claire ) 
Bob near Ellie knows himself	sem	 know ( bob , bob ) & near ( bob , ellie ) 
Xavier beside Grace hears Sarah	sem	 hear ( xavier , sarah ) & beside ( xavier , grace ) 
Ron hears Daniel	sem	hear ( ron , daniel )
Daniel by Henry meets Claire	sem	 meet ( daniel , claire ) & by ( daniel , henry ) 
Daniel dances	sem	dance ( daniel )
Bob by Mary dances	sem	 dance ( bob ) & by ( bob , mary ) 
Bob by Bob runs	sem	 run ( bob ) & by ( bob , bob ) 
Grace near Leo sleeps	sem	 sleep ( grace ) & near ( grace , leo ) 
Kate runs	sem	run ( kate )
Leo hears Daniel	sem	hear ( leo , daniel )
Sarah beside Grace sees Willow	sem	 see ( sarah , willow ) & beside ( sarah , grace ) 
Thomas knows Willow	sem	know ( thomas , willow )
Bob beside Victor meets himself	sem	 meet ( bob , bob ) & beside ( bob , victor ) 
Ellie near Ellie knows John	sem	 know ( ellie , john ) & near ( ellie , ellie ) 
Thomas runs	sem	run ( thomas )
Ellie hears herself	sem	hear ( ellie , ellie )
Thomas near Bob believes Henry	sem	 believe ( thomas , henry ) & near ( thomas , bob ) 
Alice beside Leo meets Quinn	sem	 meet ( alice , quinn ) & beside ( alice , leo ) 
Bob by Bob sleeps	sem	 sleep ( bob ) & by ( bob , bob ) 
