source	transformation	target
Leo beside Alice runs	sem	 run ( leo ) & beside ( leo , alice ) 
Thomas sees Alice	sem	see ( thomas , alice )
Peter near Grace sees Willow	sem	 see ( peter , willow ) & near ( peter , grace ) 
Alice sees Olivia	sem	see ( alice , olivia )
Xavier runs	sem	run ( xavier )
Grace sees herself	sem	see ( grace , grace )
Ned near Bob sees John	sem	 see ( ned , john ) & near ( ned , bob ) 
Zack beside Thomas sees Ned	sem	 see ( zack , ned ) & beside ( zack , thomas ) 
Kate behind Zack sees Bob	sem	 see ( kate , bob ) & behind ( kate , zack ) 
Frank near Sarah runs	sem	 run ( frank ) & near ( frank , sarah ) 
Ellie near Willow sees herself	sem	 see ( ellie , ellie ) & near ( ellie , willow ) 
Mary by Thomas sees Grace	sem	 see ( mary , grace ) & by ( mary , thomas ) 
Frank runs	sem	run ( frank )
Zack behind Ron sees himself	sem	 see ( zack , zack ) & behind ( zack , ron ) 
Alice sees herself	sem	see ( alice , alice )
Mary beside Victor sees Thomas	sem	 see ( mary , thomas ) & beside ( mary , victor ) 
Zack runs	sem	run ( zack )
Isla behind Olivia sees Olivia	sem	 see ( isla , olivia ) & behind ( isla , olivia ) 
Bob behind Isla runs	sem	 run ( bob ) & behind ( bob , isla ) 
Sarah behind Thomas sees Ursa	sem	 see ( sarah , ursa ) & behind ( sarah , thomas ) 
Willow runs	sem	run ( willow )
Daniel behind Xavier runs	sem	 run ( daniel ) & behind ( daniel , xavier ) 
Olivia by Ned runs	sem	 run ( olivia ) & by ( olivia , ned ) 
Daniel by John sees himself	sem	 see ( daniel , daniel ) & by ( daniel , john ) 
Ursa beside Xavier sees Ron	sem	 see ( ursa , ron ) & beside ( ursa , xavier ) 
Bob by Ned sees himself	sem	 see ( bob , bob ) & by ( bob , ned ) 
Grace sees Ned	sem	see ( grace , ned )
Xavier sees Bob	sem	see ( xavier , bob )
Henry runs	sem	run ( henry )
Mary near Grace runs	sem	 run ( mary ) & near ( mary , grace ) 
Victor behind Frank sees Frank	sem	 see ( victor , frank ) & behind ( victor , frank ) 
Daniel beside Leo runs	sem	 run ( daniel ) & beside ( daniel , leo ) 
Mary beside Alice sees Henry	sem	 see ( mary , henry ) & beside ( mary , alice ) 
Xavier by Frank sees Olivia	sem	 see ( xavier , olivia ) & by ( xavier , frank ) 
Ellie runs	sem	run ( ellie )
Mary runs	sem	run ( mary )
Ynez behind Willow runs	sem	 run ( ynez ) & behind ( ynez , willow ) 
Willow sees herself	sem	see ( willow , willow )
Olivia runs	sem	run ( olivia )
Zack sees Victor	sem	see ( zack , victor )
Daniel by Thomas sees Peter	sem	 see ( daniel , peter ) & by ( daniel , thomas ) 
Quinn runs	sem	run ( quinn )
Bob by Grace sees himself	sem	 see ( bob , bob ) & by ( bob , grace ) 
John near Quinn sees himself	sem	 see ( john , john ) & near ( john , quinn ) 
Xavier by Sarah sees John	sem	 see ( xavier , john ) & by ( xavier , sarah ) 
Alice near Daniel sees herself	sem	 see ( alice , alice ) & near ( alice , daniel ) 
Ned sees himself	sem	see ( ned , ned )
John runs	sem	run ( john )
Zack by Xavier sees himself	sem	 see ( zack , zack ) & by ( zack , xavier ) 
Ron sees Leo	sem	see ( ron , leo )
Xavier runs	sem	run ( xavier )
Frank behind Victor runs	sem	 run ( frank ) & behind ( frank , victor ) 
Ursa near Ursa sees Xavier	sem	 see ( ursa , xavier ) & near ( ursa , ursa ) 
Bob sees Ron	sem	see ( bob , ron )
Alice beside Willow sees Daniel	sem	 see ( alice , daniel ) & beside ( alice , willow ) 
Ynez by Bob sees herself	sem	 see ( ynez , ynez ) & by ( ynez , bob ) 
Grace sees Ynez	sem	see ( grace , ynez )
John near Peter sees Thomas	sem	 see ( john , thomas ) & near ( john , peter ) 
Ron by Alice sees himself	sem	 see ( ron , ron ) & by ( ron , alice ) 
Bob beside Peter runs	sem	 run ( bob ) & beside ( bob , peter ) 
Thomas near Willow sees Quinn	sem	 see ( thomas , quinn ) & near ( thomas , willow ) 
Ursa by Xavier runs	sem	 run ( ursa ) & by ( ursa , xavier ) 
Ursa runs	sem	run ( ursa )
Alice runs	sem	run ( alice )
Ron sees Ned	sem	see ( ron , ned )
Grace runs	sem	run ( grace )
Kate by Ynez sees Grace	sem	 see ( kate , grace ) & by ( kate , ynez ) 
Ron near Ron sees Peter	sem	 see ( ron , peter ) & near ( ron , ron ) 
Mary behind Peter sees Leo	sem	 see ( mary , leo ) & behind ( mary , peter ) 
Ron by Alice sees Quinn	sem	 see ( ron , quinn ) & by ( ron , alice ) 
Ursa behind Ursa sees herself	sem	 see ( ursa , ursa ) & behind ( ursa , ursa ) 
Kate beside Mary sees Leo	sem	 see ( kate , leo ) & beside ( kate , mary ) 
Ynez runs	sem	run ( ynez )
Xavier runs	sem	run ( xavier )
Claire sees herself	sem	see ( claire , claire )
Mary behind Zack sees herself	sem	 see ( mary , mary ) & behind ( mary , zack ) 
Quinn beside Henry runs	sem	 run ( quinn ) & beside ( quinn , henry ) 
Xavier near Leo sees Zack	sem	 see ( xavier , zack ) & near ( xavier , leo ) 
Peter beside Frank sees Peter	sem	 see ( peter , peter ) & beside ( peter , frank ) 
Thomas sees Quinn	sem	see ( thomas , quinn )
Olivia behind Ynez runs	sem	 run ( olivia ) & behind ( olivia , ynez ) 
Willow runs	sem	run ( willow )
Alice near Willow sees Alice	sem	 see ( alice , alice ) & near ( alice , willow ) 
Ned sees himself	sem	see ( ned , ned )
Alice beside Kate runs	sem	 run ( alice ) & beside ( alice , kate ) 
Isla sees herself	sem	see ( isla , isla )
Claire sees Thomas	sem	see ( claire , thomas )
Kate sees Frank	sem	see ( kate , frank )
Isla near Willow runs	sem	 run ( isla ) & near ( isla , willow ) 
Leo sees himself	sem	see ( leo , leo )
Leo beside Frank sees Ellie	sem	 see ( leo , ellie ) & beside ( leo , frank ) 
Victor behind Olivia sees Frank	sem	 see ( victor , frank ) & behind ( victor , olivia ) 
Victor runs	sem	run ( victor )
Ron sees Xavier	sem	see ( ron , xavier )
Olivia sees herself	sem	see ( olivia , olivia )
Willow sees Alice	sem	see ( willow , alice )
Bob by Mary runs	sem	 run ( bob ) & by ( bob , mary ) 
Ron sees Zack	sem	see ( ron , zack )
Mary sees Grace	sem	see ( mary , grace )
Willow runs	sem	run ( willow )
Xavier behind Kate sees himself	sem	 see ( xavier , xavier ) & behind ( xavier , kate ) 
Quinn sees Ellie	sem	see ( quinn , ellie )
Victor runs	sem	run ( victor )
Sarah behind Sarah sees Frank	sem	 see ( sarah , frank ) & behind ( sarah , sarah ) 
Sarah sees Isla	sem	see ( sarah , isla )
Grace sees Grace	sem	see ( grace , grace )
Xavier sees himself	sem	see ( xavier , xavier )
Victor runs	sem	run ( victor )
Victor behind Peter sees Alice	sem	 see ( victor , alice ) & behind ( victor , peter ) 
Zack runs	sem	run ( zack )
John sees himself	sem	see ( john , john )
Leo by Isla runs	sem	 run ( leo ) & by ( leo , isla ) 
Kate by Isla runs	sem	 run ( kate ) & by ( kate , isla ) 
Quinn sees herself	sem	see ( quinn , quinn )
Quinn runs	sem	run ( quinn )
Kate runs	sem	run ( kate )
Ron near Leo sees Olivia	sem	 see ( ron , olivia ) & near ( ron , leo ) 
Bob sees Ron	sem	see ( bob , ron )
Mary sees Quinn	sem	see ( mary , quinn )
Thomas sees Victor	sem	see ( thomas , victor )
Zack sees Kate	sem	see ( zack , kate )
Ned runs	sem	run ( ned )
Ron by Willow runs	sem	 run ( ron ) & by ( ron , willow ) 
Willow beside Sarah sees Leo	sem	 see ( willow , leo ) & beside ( willow , sarah ) 
Mary by Frank runs	sem	 run ( mary ) & by ( mary , frank ) 
Xavier sees Sarah	sem	see ( xavier , sarah )
Ned sees Leo	sem	see ( ned , leo )
Leo beside Ellie sees himself	sem	 see ( leo , leo ) & beside ( leo , ellie ) 
Frank sees Mary	sem	see ( frank , mary )
Grace behind Claire runs	sem	 run ( grace ) & behind ( grace , claire ) 
Henry runs	sem	run ( henry )
Olivia runs	sem	run ( olivia )
Kate sees herself	sem	see ( kate , kate )
Grace sees Victor	sem	see ( grace , victor )
Ron by Ned sees himself	sem	 see ( ron , ron ) & by ( ron , ned ) 
Frank by Xavier runs	sem	 run ( frank ) & by ( frank , xavier ) 
Henry sees Isla	sem	see ( henry , isla )
Bob beside Sarah runs	sem	 run ( bob ) & beside ( bob , sarah ) 
Daniel sees Xavier	sem	see ( daniel , xavier )
Ynez runs	sem	run ( ynez )
Olivia beside Henry sees herself	sem	 see ( olivia , olivia ) & beside ( olivia , henry ) 
Claire runs	sem	run ( claire )
Isla behind Kate runs	sem	 run ( isla ) & behind ( isla , kate ) 
Zack beside John sees himself	sem	 see ( zack , zack ) & beside ( zack , john ) 
Kate near Ron runs	sem	 run ( kate ) & near ( kate , ron ) 
Sarah runs	sem	run ( sarah )
Claire sees Mary	sem	see ( claire , mary )
Quinn near John sees herself	sem	 see ( quinn , quinn ) & near ( quinn , john ) 
Sarah by Isla sees herself	sem	 see ( sarah , sarah ) & by ( sarah , isla ) 
John by Alice sees Ursa	sem	 see ( john , ursa ) & by ( john , alice ) 
Thomas near Xavier runs	sem	 run ( thomas ) & near ( thomas , xavier ) 
Leo beside Bob sees himself	sem	 see ( leo , leo ) & beside ( leo , bob ) 
Thomas sees Willow	sem	see ( thomas , willow )
Ron near Alice sees himself	sem	 see ( ron , ron ) & near ( ron , alice ) 
Leo near Henry runs	sem	 run ( leo ) & near ( leo , henry ) 
Ursa beside Henry sees herself	sem	 see ( ursa , ursa ) & beside ( ursa , henry ) 
John runs	sem	run ( john )
Daniel beside Thomas sees Alice	sem	 see ( daniel , alice ) & beside ( daniel , thomas ) 
Peter near Willow runs	sem	 run ( peter ) & near ( peter , willow ) 
Leo near Sarah runs	sem	 run ( leo ) & near ( leo , sarah ) 
Isla runs	sem	run ( isla )
Victor behind Claire sees himself	sem	 see ( victor , victor ) & behind ( victor , claire ) 
Quinn runs	sem	run ( quinn )
Grace by Thomas runs	sem	 run ( grace ) & by ( grace , thomas ) 
Thomas by Kate runs	sem	 run ( thomas ) & by ( thomas , kate ) 
John sees himself	sem	see ( john , john )
Ron by Thomas runs	sem	 run ( ron ) & by ( ron , thomas ) 
Victor runs	sem	run ( victor )
Ellie runs	sem	run ( ellie )
Alice beside Ellie sees Ellie	sem	 see ( alice , ellie ) & beside ( alice , ellie ) 
Ned by Ron sees Sarah	sem	 see ( ned , sarah ) & by ( ned , ron ) 
Bob near Mary sees Ellie	sem	 see ( bob , ellie ) & near ( bob , mary ) 
Thomas near Grace runs	sem	 run ( thomas ) & near ( thomas , grace ) 
Grace beside Mary sees Xavier	sem	 see ( grace , xavier ) & beside ( grace , mary ) 
Ynez sees Daniel	sem	see ( ynez , daniel )
Willow runs	sem	run ( willow )
Alice sees Xavier	sem	see ( alice , xavier )
John runs	sem	run ( john )
Frank sees Zack	sem	see ( frank , zack )
Sarah behind Willow sees Willow	sem	 see ( sarah , willow ) & behind ( sarah , willow ) 
Isla sees Ned	sem	see ( isla , ned )
Thomas beside Xavier runs	sem	 run ( thomas ) & beside ( thomas , xavier ) 
Daniel by Daniel runs	sem	 run ( daniel ) & by ( daniel , daniel ) 
Frank near Ursa sees himself	sem	 see ( frank , frank ) & near ( frank , ursa ) 
Kate runs	sem	run ( kate )
Sarah runs	sem	run ( sarah )
Ynez runs	sem	run ( ynez )
Zack sees Thomas	sem	see ( zack , thomas )
Ursa runs	sem	run ( ursa )
Zack sees himself	sem	see ( zack , zack )
Henry runs	sem	run ( henry )
Ursa sees herself	sem	see ( ursa , ursa )
Bob near Claire sees himself	sem	 see ( bob , bob ) & near ( bob , claire ) 
Daniel sees Isla	sem	see ( daniel , isla )
Zack sees Alice	sem	see ( zack , alice )
Ynez beside Kate sees Zack	sem	 see ( ynez , zack ) & beside ( ynez , kate ) 
Ellie by Ned sees Olivia	sem	 see ( ellie , olivia ) & by ( ellie , ned ) 
Bob sees Ursa	sem	see ( bob , ursa )
Henry beside Daniel sees Victor	sem	 see ( henry , victor ) & beside ( henry , daniel ) 
Kate near Bob sees herself	sem	 see ( kate , kate ) & near ( kate , bob ) 
Ellie sees Ynez	sem	see ( ellie , ynez )
Henry beside Zack sees Mary	sem	 see ( henry , mary ) & beside ( henry , zack ) 
Leo runs	sem	run ( leo )
Ynez near Isla sees Peter	sem	 see ( ynez , peter ) & near ( ynez , isla ) 
Kate sees Ursa	sem	see ( kate , ursa )
Ned sees Ursa	sem	see ( ned , ursa )
Peter sees himself	sem	see ( peter , peter )
Kate sees Xavier	sem	see ( kate , xavier )
Isla runs	sem	run ( isla )
Bob by Claire sees Ellie	sem	 see ( bob , ellie ) & by ( bob , claire ) 
Ellie near Alice runs	sem	 run ( ellie ) & near ( ellie , alice ) 
Isla sees Quinn	sem	see ( isla , quinn )
Willow sees Ron	sem	see ( willow , ron )
Grace by Peter sees Claire	sem	 see ( grace , claire ) & by ( grace , peter ) 
Olivia sees herself	sem	see ( olivia , olivia )
Daniel behind Henry sees Victor	sem	 see ( daniel , victor ) & behind ( daniel , henry ) 
Grace beside Daniel sees Ellie	sem	 see ( grace , ellie ) & beside ( grace , daniel ) 
Zack near Daniel runs	sem	 run ( zack ) & near ( zack , daniel ) 
Thomas by Ron runs	sem	 run ( thomas ) & by ( thomas , ron ) 
Grace runs	sem	run ( grace )
Willow near Ned sees herself	sem	 see ( willow , willow ) & near ( willow , ned ) 
Ned by John runs	sem	 run ( ned ) & by ( ned , john ) 
Olivia beside Thomas sees herself	sem	 see ( olivia , olivia ) & beside ( olivia , thomas ) 
Alice behind Claire runs	sem	 run ( alice ) & behind ( alice , claire ) 
Alice sees herself	sem	see ( alice , alice )
Ron sees Thomas	sem	see ( ron , thomas )
Grace sees Daniel	sem	see ( grace , daniel )
Ynez behind Willow runs	sem	 run ( ynez ) & behind ( ynez , willow ) 
Alice near Daniel sees Victor	sem	 see ( alice , victor ) & near ( alice , daniel ) 
Willow runs	sem	run ( willow )
Claire by Olivia runs	sem	 run ( claire ) & by ( claire , olivia ) 
Bob behind Ron runs	sem	 run ( bob ) & behind ( bob , ron ) 
Henry runs	sem	run ( henry )
Xavier runs	sem	run ( xavier )
Victor by Ursa sees Xavier	sem	 see ( victor , xavier ) & by ( victor , ursa ) 
Ron behind Alice runs	sem	 run ( ron ) & behind ( ron , alice ) 
Xavier runs	sem	run ( xavier )
Ursa runs	sem	run ( ursa )
Thomas behind Leo sees Ron	sem	 see ( thomas , ron ) & behind ( thomas , leo ) 
Claire runs	sem	run ( claire )
Frank sees himself	sem	see ( frank , frank )
John near Claire sees Thomas	sem	 see ( john , thomas ) & near ( john , claire ) 
Grace sees Ursa	sem	see ( grace , ursa )
Leo beside Ellie runs	sem	 run ( leo ) & beside ( leo , ellie ) 
Quinn sees Bob	sem	see ( quinn , bob )
Henry sees himself	sem	see ( henry , henry )
Ned sees Ned	sem	see ( ned , ned )
Quinn beside Mary runs	sem	 run ( quinn ) & beside ( quinn , mary ) 
Ron by Frank sees Willow	sem	 see ( ron , willow ) & by ( ron , frank ) 
Alice sees Leo	sem	see ( alice , leo )
Peter sees Ned	sem	see ( peter , ned )
Xavier sees Victor	sem	see ( xavier , victor )
Zack sees himself	sem	see ( zack , zack )
Victor by Ynez sees Kate	sem	 see ( victor , kate ) & by ( victor , ynez ) 
Willow runs	sem	run ( willow )
Mary near Ned runs	sem	 run ( mary ) & near ( mary , ned ) 
John sees Daniel	sem	see ( john , daniel )
Ursa behind Alice sees Peter	sem	 see ( ursa , peter ) & behind ( ursa , alice ) 
Bob runs	sem	run ( bob )
Ellie behind Ron sees Alice	sem	 see ( ellie , alice ) & behind ( ellie , ron ) 
Henry near Quinn sees Grace	sem	 see ( henry , grace ) & near ( henry , quinn ) 
Thomas sees Sarah	sem	see ( thomas , sarah )
Bob sees Frank	sem	see ( bob , frank )
Olivia behind Quinn runs	sem	 run ( olivia ) & behind ( olivia , quinn ) 
Mary sees herself	sem	see ( mary , mary )
Sarah runs	sem	run ( sarah )
Sarah beside Sarah sees Sarah	sem	 see ( sarah , sarah ) & beside ( sarah , sarah ) 
Bob sees Olivia	sem	see ( bob , olivia )
Willow runs	sem	run ( willow )
Ellie runs	sem	run ( ellie )
Ellie by Zack sees Daniel	sem	 see ( ellie , daniel ) & by ( ellie , zack ) 
Thomas sees himself	sem	see ( thomas , thomas )
Alice by Ned sees Zack	sem	 see ( alice , zack ) & by ( alice , ned ) 
Claire behind Isla sees Isla	sem	 see ( claire , isla ) & behind ( claire , isla ) 
Ynez runs	sem	run ( ynez )
Ynez near Mary runs	sem	 run ( ynez ) & near ( ynez , mary ) 
Grace sees Mary	sem	see ( grace , mary )
Thomas runs	sem	run ( thomas )
Victor runs	sem	run ( victor )
Claire sees herself	sem	see ( claire , claire )
Willow by Ned runs	sem	 run ( willow ) & by ( willow , ned ) 
Daniel beside Olivia sees Leo	sem	 see ( daniel , leo ) & beside ( daniel , olivia ) 
Grace runs	sem	run ( grace )
Mary near Leo runs	sem	 run ( mary ) & near ( mary , leo ) 
Peter by Grace runs	sem	 run ( peter ) & by ( peter , grace ) 
Henry sees himself	sem	see ( henry , henry )
Grace behind Ron sees herself	sem	 see ( grace , grace ) & behind ( grace , ron ) 
Claire near Sarah sees Claire	sem	 see ( claire , claire ) & near ( claire , sarah ) 
Henry behind Zack runs	sem	 run ( henry ) & behind ( henry , zack ) 
Leo by Grace runs	sem	 run ( leo ) & by ( leo , grace ) 
Zack by Leo runs	sem	 run ( zack ) & by ( zack , leo ) 
Peter beside John sees Mary	sem	 see ( peter , mary ) & beside ( peter , john ) 
Daniel near Kate sees Olivia	sem	 see ( daniel , olivia ) & near ( daniel , kate ) 
Grace sees herself	sem	see ( grace , grace )
Ellie sees Ned	sem	see ( ellie , ned )
Willow sees Willow	sem	see ( willow , willow )
Frank sees Ron	sem	see ( frank , ron )
Ellie runs	sem	run ( ellie )
Isla beside Mary sees Claire	sem	 see ( isla , claire ) & beside ( isla , mary ) 
Grace sees Victor	sem	see ( grace , victor )
Kate beside Quinn sees Zack	sem	 see ( kate , zack ) & beside ( kate , quinn ) 
Isla runs	sem	run ( isla )
Ursa behind Ynez runs	sem	 run ( ursa ) & behind ( ursa , ynez ) 
Alice sees herself	sem	see ( alice , alice )
Quinn near Henry sees Peter	sem	 see ( quinn , peter ) & near ( quinn , henry ) 
Ynez behind Henry sees Zack	sem	 see ( ynez , zack ) & behind ( ynez , henry ) 
Sarah behind Ned runs	sem	 run ( sarah ) & behind ( sarah , ned ) 
Bob near Henry runs	sem	 run ( bob ) & near ( bob , henry ) 
Ned behind Ynez runs	sem	 run ( ned ) & behind ( ned , ynez ) 
Xavier beside Claire runs	sem	 run ( xavier ) & beside ( xavier , claire ) 
Olivia by Peter runs	sem	 run ( olivia ) & by ( olivia , peter ) 
Xavier runs	sem	run ( xavier )
Kate near Henry runs	sem	 run ( kate ) & near ( kate , henry ) 
Ellie sees Daniel	sem	see ( ellie , daniel )
Victor runs	sem	run ( victor )
Alice behind Olivia runs	sem	 run ( alice ) & behind ( alice , olivia ) 
Kate near Ellie runs	sem	 run ( kate ) & near ( kate , ellie ) 
Ron beside Thomas runs	sem	 run ( ron ) & beside ( ron , thomas ) 
Willow runs	sem	run ( willow )
Thomas sees Xavier	sem	see ( thomas , xavier )
Ned by Sarah runs	sem	 run ( ned ) & by ( ned , sarah ) 
Ynez sees Quinn	sem	see ( ynez , quinn )
Zack behind Leo sees himself	sem	 see ( zack , zack ) & behind ( zack , leo ) 
Ynez sees Kate	sem	see ( ynez , kate )
John behind Ursa sees Ellie	sem	 see ( john , ellie ) & behind ( john , ursa ) 
Peter behind Sarah runs	sem	 run ( peter ) & behind ( peter , sarah ) 
Zack beside Willow sees Ned	sem	 see ( zack , ned ) & beside ( zack , willow ) 
Claire by Ursa sees Zack	sem	 see ( claire , zack ) & by ( claire , ursa ) 
Henry beside Victor sees Willow	sem	 see ( henry , willow ) & beside ( henry , victor ) 
Thomas beside Daniel sees himself	sem	 see ( thomas , thomas ) & beside ( thomas , daniel ) 
John beside Peter runs	sem	 run ( john ) & beside ( john , peter ) 
Isla sees Leo	sem	see ( isla , leo )
Ron sees Grace	sem	see ( ron , grace )
Sarah sees Henry	sem	see ( sarah , henry )
Victor runs	sem	run ( victor )
John runs	sem	run ( john )
Thomas near Ron runs	sem	 run ( thomas ) & near ( thomas , ron ) 
Claire runs	sem	run ( claire )
Thomas by Leo runs	sem	 run ( thomas ) & by ( thomas , leo ) 
Ynez beside Zack runs	sem	 run ( ynez ) & beside ( ynez , zack ) 
Peter sees Henry	sem	see ( peter , henry )
John near Ron sees himself	sem	 see ( john , john ) & near ( john , ron ) 
Willow behind Isla sees Mary	sem	 see ( willow , mary ) & behind ( willow , isla ) 
John behind Alice runs	sem	 run ( john ) & behind ( john , alice ) 
Ron sees Ursa	sem	see ( ron , ursa )
Leo sees himself	sem	see ( leo , leo )
Ned runs	sem	run ( ned )
John beside Isla sees Victor	sem	 see ( john , victor ) & beside ( john , isla ) 
Kate beside Ron sees Bob	sem	 see ( kate , bob ) & beside ( kate , ron ) 
Thomas sees Claire	sem	see ( thomas , claire )
Frank near John sees himself	sem	 see ( frank , frank ) & near ( frank , john ) 
Sarah beside Ron sees herself	sem	 see ( sarah , sarah ) & beside ( sarah , ron ) 
Mary behind Leo sees Zack	sem	 see ( mary , zack ) & behind ( mary , leo ) 
Daniel sees Alice	sem	see ( daniel , alice )
Peter beside Ellie sees himself	sem	 see ( peter , peter ) & beside ( peter , ellie ) 
Leo sees Thomas	sem	see ( leo , thomas )
Claire sees Ned	sem	see ( claire , ned )
Ron sees Ynez	sem	see ( ron , ynez )
Mary beside Ron sees Frank	sem	 see ( mary , frank ) & beside ( mary , ron ) 
Thomas behind Claire runs	sem	 run ( thomas ) & behind ( thomas , claire ) 
Isla behind Leo runs	sem	 run ( isla ) & behind ( isla , leo ) 
Zack sees Ellie	sem	see ( zack , ellie )
Ursa by Bob sees Claire	sem	 see ( ursa , claire ) & by ( ursa , bob ) 
Henry near Ellie sees Quinn	sem	 see ( henry , quinn ) & near ( henry , ellie ) 
Ellie sees Claire	sem	see ( ellie , claire )
Daniel sees himself	sem	see ( daniel , daniel )
Leo sees himself	sem	see ( leo , leo )
Ron runs	sem	run ( ron )
Kate runs	sem	run ( kate )
Sarah sees Henry	sem	see ( sarah , henry )
Henry by Thomas sees Xavier	sem	 see ( henry , xavier ) & by ( henry , thomas ) 
Ursa sees herself	sem	see ( ursa , ursa )
Peter beside Thomas runs	sem	 run ( peter ) & beside ( peter , thomas ) 
Grace runs	sem	run ( grace )
Daniel beside Claire runs	sem	 run ( daniel ) & beside ( daniel , claire ) 
Ynez sees Henry	sem	see ( ynez , henry )
Alice beside Kate sees Mary	sem	 see ( alice , mary ) & beside ( alice , kate ) 
Alice runs	sem	run ( alice )
Sarah beside Peter sees Peter	sem	 see ( sarah , peter ) & beside ( sarah , peter ) 
Claire sees herself	sem	see ( claire , claire )
Thomas beside Claire sees Kate	sem	 see ( thomas , kate ) & beside ( thomas , claire ) 
Victor runs	sem	run ( victor )
Henry beside John sees Ursa	sem	 see ( henry , ursa ) & beside ( henry , john ) 
Ellie sees Olivia	sem	see ( ellie , olivia )
Zack sees Olivia	sem	see ( zack , olivia )
Olivia beside Frank sees Bob	sem	 see ( olivia , bob ) & beside ( olivia , frank ) 
Henry by Claire runs	sem	 run ( henry ) & by ( henry , claire ) 
Zack runs	sem	run ( zack )
Sarah sees Ellie	sem	see ( sarah , ellie )
Willow sees John	sem	see ( willow , john )
Quinn by Ellie runs	sem	 run ( quinn ) & by ( quinn , ellie ) 
Peter sees Frank	sem	see ( peter , frank )
Ned sees Grace	sem	see ( ned , grace )
Victor behind Kate sees Thomas	sem	 see ( victor , thomas ) & behind ( victor , kate ) 
Kate near Quinn sees herself	sem	 see ( kate , kate ) & near ( kate , quinn ) 
Claire runs	sem	run ( claire )
John behind Ned sees Zack	sem	 see ( john , zack ) & behind ( john , ned ) 
Daniel behind Zack runs	sem	 run ( daniel ) & behind ( daniel , zack ) 
Henry behind Ursa sees himself	sem	 see ( henry , henry ) & behind ( henry , ursa ) 
Ynez runs	sem	run ( ynez )
Victor runs	sem	run ( victor )
Quinn behind Bob sees Grace	sem	 see ( quinn , grace ) & behind ( quinn , bob ) 
Xavier sees himself	sem	see ( xavier , xavier )
Leo near Ynez sees Ned	sem	 see ( leo , ned ) & near ( leo , ynez ) 
Claire by Victor sees Leo	sem	 see ( claire , leo ) & by ( claire , victor ) 
Kate sees herself	sem	see ( kate , kate )
Mary runs	sem	run ( mary )
Grace by Olivia runs	sem	 run ( grace ) & by ( grace , olivia ) 
Quinn behind Olivia sees herself	sem	 see ( quinn , quinn ) & behind ( quinn , olivia ) 
Daniel runs	sem	run ( daniel )
Isla behind Ellie runs	sem	 run ( isla ) & behind ( isla , ellie ) 
Ron sees Xavier	sem	see ( ron , xavier )
Sarah sees Quinn	sem	see ( sarah , quinn )
Ynez by Ned runs	sem	 run ( ynez ) & by ( ynez , ned ) 
Zack near Henry sees Alice	sem	 see ( zack , alice ) & near ( zack , henry ) 
Bob sees Sarah	sem	see ( bob , sarah )
Sarah sees herself	sem	see ( sarah , sarah )
Sarah sees herself	sem	see ( sarah , sarah )
Victor beside Thomas sees Ned	sem	 see ( victor , ned ) & beside ( victor , thomas ) 
Ron beside Ron sees Xavier	sem	 see ( ron , xavier ) & beside ( ron , ron ) 
Kate sees herself	sem	see ( kate , kate )
Xavier runs	sem	run ( xavier )
Isla sees herself	sem	see ( isla , isla )
Grace beside Kate sees Frank	sem	 see ( grace , frank ) & beside ( grace , kate ) 
Ned near Mary sees Daniel	sem	 see ( ned , daniel ) & near ( ned , mary ) 
Olivia sees herself	sem	see ( olivia , olivia )
Bob runs	sem	run ( bob )
Kate sees herself	sem	see ( kate , kate )
John behind Alice sees himself	sem	 see ( john , john ) & behind ( john , alice ) 
Victor sees himself	sem	see ( victor , victor )
Victor beside Olivia sees Daniel	sem	 see ( victor , daniel ) & beside ( victor , olivia ) 
Grace beside Isla sees Kate	sem	 see ( grace , kate ) & beside ( grace , isla ) 
Xavier sees himself	sem	see ( xavier , xavier )
Ynez runs	sem	run ( ynez )
Leo behind Xavier sees Willow	sem	 see ( leo , willow ) & behind ( leo , xavier ) 
Alice near Leo sees Isla	sem	 see ( alice , isla ) & near ( alice , leo ) 
Mary behind Grace sees herself	sem	 see ( mary , mary ) & behind ( mary , grace ) 
Olivia sees Mary	sem	see ( olivia , mary )
Xavier runs	sem	run ( xavier )
Quinn sees herself	sem	see ( quinn , quinn )
John runs	sem	run ( john )
Quinn by Thomas runs	sem	 run ( quinn ) & by ( quinn , thomas ) 
Mary behind Victor sees Ynez	sem	 see ( mary , ynez ) & behind ( mary , victor ) 
Claire sees herself	sem	see ( claire , claire )
Quinn sees herself	sem	see ( quinn , quinn )
Claire near Ynez runs	sem	 run ( claire ) & near ( claire , ynez ) 
Kate beside Ynez sees herself	sem	 see ( kate , kate ) & beside ( kate , ynez ) 
Frank by Mary sees himself	sem	 see ( frank , frank ) & by ( frank , mary ) 
Ned by Mary sees Victor	sem	 see ( ned , victor ) & by ( ned , mary ) 
Henry sees Peter	sem	see ( henry , peter )
Ellie runs	sem	run ( ellie )
Isla beside Willow runs	sem	 run ( isla ) & beside ( isla , willow ) 
Victor sees himself	sem	see ( victor , victor )
Kate runs	sem	run ( kate )
Grace behind Zack runs	sem	 run ( grace ) & behind ( grace , zack ) 
Grace behind Sarah sees Xavier	sem	 see ( grace , xavier ) & behind ( grace , sarah ) 
Xavier near Ursa runs	sem	 run ( xavier ) & near ( xavier , ursa ) 
Ellie sees Frank	sem	see ( ellie , frank )
